matrix,row_block_size,col_block_size,tau
data/suitsparse_N20000_100000_dN0.0001_0.1//TSOPF_RS_b2383.el,128,128,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//TSOPF_RS_b2383.el,256,256,0.8
data/suitsparse_N20000_100000_dN0.0001_0.1//TSOPF_RS_b2383.el,512,512,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//TSOPF_RS_b2383.el,1024,1024,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//TSOPF_RS_b39_c19.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//TSOPF_RS_b39_c19.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//TSOPF_RS_b39_c19.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//TSOPF_RS_b39_c19.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//TSOPF_RS_b39_c19.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//Zd_Jac2.mtx,64,64,0.8
data/suitsparse_N20000_100000_dN0.0001_0.1//Zd_Jac2.mtx,128,128,0.5
data/suitsparse_N20000_100000_dN0.0001_0.1//Zd_Jac2.mtx,256,256,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//Zd_Jac2.mtx,512,512,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//Zd_Jac2.mtx,1024,1024,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//Zhao1.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//Zhao1.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//Zhao1.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//Zhao1.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//Zhao1.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//Zhao2.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//Zhao2.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//Zhao2.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//Zhao2.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//Zhao2.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//af23560.mtx,64,64,0.3
data/suitsparse_N20000_100000_dN0.0001_0.1//af23560.mtx,128,128,0.3
data/suitsparse_N20000_100000_dN0.0001_0.1//af23560.mtx,256,256,0.01
data/suitsparse_N20000_100000_dN0.0001_0.1//af23560.mtx,512,512,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//af23560.mtx,1024,1024,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//as-caida.el,64,64,0.01
data/suitsparse_N20000_100000_dN0.0001_0.1//as-caida.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//as-caida.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//as-caida.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//as-caida.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//aug3d.mtx,64,64,0.4
data/suitsparse_N20000_100000_dN0.0001_0.1//aug3d.mtx,128,128,0.4
data/suitsparse_N20000_100000_dN0.0001_0.1//aug3d.mtx,256,256,0.01
data/suitsparse_N20000_100000_dN0.0001_0.1//aug3d.mtx,512,512,0.5
data/suitsparse_N20000_100000_dN0.0001_0.1//aug3d.mtx,1024,1024,0.05
data/suitsparse_N20000_100000_dN0.0001_0.1//aug3dcqp.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//aug3dcqp.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//aug3dcqp.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//aug3dcqp.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//aug3dcqp.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//av41092.el,64,64,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//av41092.el,128,128,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//av41092.el,256,256,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//av41092.el,512,512,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//av41092.el,1024,1024,0.001
data/suitsparse_N20000_100000_dN0.0001_0.1//bayer04.mtx,64,64,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//bayer04.mtx,128,128,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//bayer04.mtx,256,256,-1.0
data/suitsparse_N20000_100000_dN0.0001_0.1//bayer04.mtx,512,512,0.4
data/suitsparse_N20000_100000_dN0.0001_0.1//bayer04.mtx,1024,1024,0.4
data/suitsparse_N20000_100000_dN0.0001_0.1//bbmat.el,64,64,0.001
