exp_name,input_type,input_source,rows,cols,B_cols,B_density,total_nonzeros,input_blocks_density,input_entries_density,input_block_size,reorder_algorithm,algo_block_size,epsilon,similarity_func,hierarchic_merge,merge_limit,scramble,Warmup,Repetitions,Algorithm,VBS_avg_nzblock_height,VBS_avg_nzblock_height_error,VBS_total_nonzeros,VBS_total_nonzeros_error,VBS_block_rows,VBS_block_rows_error,VBS_nz_blocks,VBS_nz_blocks_error,avg_skipped,skipped_std,avg_comparisons,comparisons_std,VBSmm_algo_mean(ms),VBSmm_algo_std,cusparse_spmm_mean(ms),cusparse_spmm_std,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bio-grid-yeast.el,6008,6008,4096,1.000000,313890,0.500000,0.500000,4,saad_blocks,64,0.500000,jaccard,1,0.000000,1,0,10,-1,63.914894,0.000000,384064.000000,0.000000,94.000000,0.000000,94.000000,0.000000,0.000000,0.000000,4371.000000,0.000000,1.608899,0.334871,20.102144,0.630794,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bio-grid-yeast.el,6008,6008,8192,1.000000,313890,0.500000,0.500000,4,saad_blocks,64,0.500000,jaccard,1,0.000000,1,0,10,-1,63.914894,0.000000,384064.000000,0.000000,94.000000,0.000000,94.000000,0.000000,0.000000,0.000000,4371.000000,0.000000,1.956688,0.334983,41.250992,1.375410,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bio-grid-yeast.el,6008,6008,16384,1.000000,313890,0.500000,0.500000,4,saad_blocks,64,0.500000,jaccard,1,0.000000,1,0,10,-1,63.914894,0.000000,384064.000000,0.000000,94.000000,0.000000,94.000000,0.000000,0.000000,0.000000,4371.000000,0.000000,3.835904,0.379456,85.093918,1.264117,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bio-grid-yeast.el,6008,6008,32768,1.000000,313890,0.500000,0.500000,4,saad_blocks,64,0.500000,jaccard,1,0.000000,1,0,10,-1,63.914894,0.000000,384064.000000,0.000000,94.000000,0.000000,94.000000,0.000000,0.000000,0.000000,4371.000000,0.000000,7.377833,0.543938,171.512238,2.895745,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bio-HS-CX.el,4413,4413,4096,1.000000,108818,0.500000,0.500000,4,saad_blocks,64,0.100000,jaccard,1,0.000000,1,0,10,-1,57.608696,0.000000,254310.000000,0.000000,70.000000,0.000000,69.000000,0.000000,0.000000,0.000000,2415.000000,0.000000,1.284445,0.345391,6.424064,0.067376,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bio-HS-CX.el,4413,4413,8192,1.000000,108818,0.500000,0.500000,4,saad_blocks,64,0.100000,jaccard,1,0.000000,1,0,10,-1,57.608696,0.000000,254310.000000,0.000000,70.000000,0.000000,69.000000,0.000000,0.000000,0.000000,2415.000000,0.000000,1.539597,0.310022,13.399904,0.161384,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bio-HS-CX.el,4413,4413,16384,1.000000,108818,0.500000,0.500000,4,saad_blocks,64,0.100000,jaccard,1,0.000000,1,0,10,-1,57.608696,0.000000,254310.000000,0.000000,70.000000,0.000000,69.000000,0.000000,0.000000,0.000000,2415.000000,0.000000,3.097959,0.349856,27.659275,0.251051,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bio-HS-CX.el,4413,4413,32768,1.000000,108818,0.500000,0.500000,4,saad_blocks,64,0.100000,jaccard,1,0.000000,1,0,10,-1,57.608696,0.000000,254310.000000,0.000000,70.000000,0.000000,69.000000,0.000000,0.000000,0.000000,2415.000000,0.000000,5.946090,0.523640,56.725842,0.421664,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bio-HS-CX.el,4413,4413,4096,1.000000,108818,0.500000,0.500000,4,saad_blocks,64,0.500000,jaccard,1,0.000000,1,0,10,-1,57.608696,0.000000,254310.000000,0.000000,70.000000,0.000000,69.000000,0.000000,0.000000,0.000000,2415.000000,0.000000,1.269616,0.351586,6.396784,0.085777,
reorder_and_multiplication_optimized,2,../graphs/good_graphs/SISA_small/bio-HS-CX.el,4413,4413,8192,1.000000,108818,0.500000,0.500000,4,saad_blocks,64,0.500000,jaccard,1,0.000000,1,0,10,-1,57.608696,0.000000,254310.000000,0.000000,70.000000,0.000000,69.000000,0.000000,0.000000,0.000000,2415.000000,0.000000,1.537485,0.314074,13.411504,0.115975,
