matrix_name rows cols nnz block_size scramble algo mask tau centroid VBR_nzcount VBR_nzblocks_count VBR_average_height VBR_longest_row
2cubes_sphere 101492 101492 874378 16 0 clubs 64 09 64 71358528 278754 15.9996 106
2cubes_sphere 101492 101492 874378 16 0 clubs 256 01 64 55627600 217306 15.9992 87
2cubes_sphere 101492 101492 874378 16 0 clubs 256 03 64 54786000 214026 15.9987 99
2cubes_sphere 101492 101492 874378 16 0 clubs 256 06 64 56566336 220975 15.9992 99
2cubes_sphere 101492 101492 874378 16 0 clubs 256 09 64 72534912 283347 15.9997 122
2cubes_sphere 101492 101492 874378 16 0 clubs 1 01 128 54744400 213856 15.9992 82
2cubes_sphere 101492 101492 874378 16 0 clubs 1 03 128 55586640 217146 15.9992 85
2cubes_sphere 101492 101492 874378 16 0 clubs 1 06 128 51503120 201197 15.999 80
2cubes_sphere 101492 101492 874378 16 0 clubs 1 09 128 50096000 195701 15.999 74
2cubes_sphere 101492 101492 874378 16 0 clubs 16 01 128 54744400 213856 15.9992 82
2cubes_sphere 101492 101492 874378 16 0 clubs 16 03 128 54694224 213660 15.9992 86
2cubes_sphere 101492 101492 874378 16 0 clubs 16 06 128 47870288 187004 15.9991 81
2cubes_sphere 101492 101492 874378 16 0 clubs 16 09 128 64336384 251326 15.9994 112
2cubes_sphere 101492 101492 874378 16 0 clubs 64 01 128 54859344 214305 15.9992 82
2cubes_sphere 101492 101492 874378 16 0 clubs 64 03 128 53688656 209735 15.999 87
2cubes_sphere 101492 101492 874378 16 0 clubs 64 06 128 50042576 195491 15.9991 77
2cubes_sphere 101492 101492 874378 16 0 clubs 64 09 128 70247232 274410 15.9997 103
2cubes_sphere 101492 101492 874378 16 0 clubs 256 01 128 55254352 215848 15.9992 88
2cubes_sphere 101492 101492 874378 16 0 clubs 256 03 128 54500304 212910 15.9987 87
2cubes_sphere 101492 101492 874378 16 0 clubs 256 06 128 56331600 220062 15.9989 97
2cubes_sphere 101492 101492 874378 16 0 clubs 256 09 128 70838336 276719 15.9997 119
3dtube 45330 45330 1629474 16 0 clubs 1 01 64 8733060 34244 15.9391 149
3dtube 45330 45330 1629474 16 0 clubs 1 03 64 8740484 34273 15.9391 149
3dtube 45330 45330 1629474 16 0 clubs 1 06 64 9153156 35885 15.9419 149
3dtube 45330 45330 1629474 16 0 clubs 1 09 64 11410820 44704 15.9533 149
3dtube 45330 45330 1629474 16 0 clubs 16 01 64 8615812 33786 15.9383 149
3dtube 45330 45330 1629474 16 0 clubs 16 03 64 9532804 37368 15.9442 149
