matrix,rows,cols,nonzeros,symmetrize,blocking_algo,tau,row_block_size,col_block_size,use_pattern,sim_use_groups,sim_measure,reorder,exp_name,b_cols,warmup,exp_repetitions,multiplication_algo,n_streams,time_to_block,time_to_merge,time_to_compare,VBR_nzcount,VBR_nzblocks_count,VBR_average_height,VBR_longest_row,merge_counter,comparison_counter,average_merge_tau,average_row_distance,avg_time_multiply,std_time_multiply,
../SPARTA_datasets/uniform_sets/uniform_32768x32768_0005.el,32768,32768,536870,0,3,0.500000,1,1,1,0,1,0,,8192,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,5.971619,1.732051,
../SPARTA_datasets/uniform_sets/uniform_32768x32768_0010.el,32768,32768,1073741,0,3,0.500000,1,1,1,0,1,0,,1024,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,1.274646,0.000000,
../SPARTA_datasets/uniform_sets/uniform_32768x32768_0010.el,32768,32768,1073741,0,3,0.500000,1,1,1,0,1,0,,8192,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,9.788419,0.000000,
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0001.el,8192,8190,6710,0,3,0.500000,1,1,1,0,1,0,,1024,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,0.091696,0.000000,
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0001.el,8192,8190,6710,0,3,0.500000,1,1,1,0,1,0,,8192,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,0.361821,0.000000,
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0002.el,8192,8192,13421,0,3,0.500000,1,1,1,0,1,0,,1024,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,0.107974,0.000000,
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0002.el,8192,8192,13421,0,3,0.500000,1,1,1,0,1,0,,8192,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,0.481597,0.000000,
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0005.el,8192,8192,33554,0,3,0.500000,1,1,1,0,1,0,,1024,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,0.124346,0.000000,
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0005.el,8192,8192,33554,0,3,0.500000,1,1,1,0,1,0,,8192,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,0.646218,0.000000,
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0010.el,8192,8192,67108,0,3,0.500000,1,1,1,0,1,0,,1024,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,0.180058,0.000000,
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0010.el,8192,8192,67108,0,3,0.500000,1,1,1,0,1,0,,8192,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,0.897274,0.000000,
../SPARTA_datasets/uniform_sets/uniform_8192x8192_0020.el,8192,8192,134217,0,3,0.500000,1,1,1,0,1,0,,1024,1,10,2,16,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,0.237110,0.000000,
