matrix,row_block_size,col_block_size,tau
data/suitesparse_all//GaAsH6.mtx,64,64,0.8
data/suitesparse_all//GaAsH6.mtx,256,256,-1.0
data/suitesparse_all//GaAsH6.mtx,512,512,-1.0
data/suitesparse_all//GaAsH6.mtx,1024,1024,-1.0
data/suitesparse_all//Goodwin_054.mtx,64,64,-1.0
data/suitesparse_all//Goodwin_054.mtx,256,256,-1.0
data/suitesparse_all//Goodwin_054.mtx,512,512,-1.0
data/suitesparse_all//Goodwin_054.mtx,1024,1024,-1.0
data/suitesparse_all//Goodwin_071.mtx,64,64,-1.0
data/suitesparse_all//Goodwin_071.mtx,256,256,-1.0
data/suitesparse_all//Goodwin_071.mtx,512,512,-1.0
data/suitesparse_all//Goodwin_071.mtx,1024,1024,-1.0
data/suitesparse_all//Goodwin_095.mtx,64,64,-1.0
data/suitesparse_all//Goodwin_095.mtx,256,256,-1.0
data/suitesparse_all//Goodwin_095.mtx,512,512,0.4
data/suitesparse_all//Goodwin_095.mtx,1024,1024,0.4
data/suitesparse_all//H2O.mtx,64,64,-1.0
data/suitesparse_all//H2O.mtx,256,256,-1.0
data/suitesparse_all//H2O.mtx,512,512,-1.0
data/suitesparse_all//H2O.mtx,1024,1024,-1.0
data/suitesparse_all//HEP-th-new.mtx,64,64,0.6
data/suitesparse_all//HEP-th-new.mtx,256,256,-1.0
data/suitesparse_all//HEP-th-new.mtx,512,512,-1.0
data/suitesparse_all//HEP-th-new.mtx,1024,1024,-1.0
data/suitesparse_all//HEP-th.mtx,64,64,0.6
data/suitesparse_all//HEP-th.mtx,256,256,-1.0
data/suitesparse_all//HEP-th.mtx,512,512,-1.0
data/suitesparse_all//HEP-th.mtx,1024,1024,-1.0
data/suitesparse_all//Ill_Stokes.mtx,64,64,0.2
data/suitesparse_all//Ill_Stokes.mtx,256,256,-1.0
data/suitesparse_all//Ill_Stokes.mtx,512,512,-1.0
data/suitesparse_all//Ill_Stokes.mtx,1024,1024,-1.0
data/suitesparse_all//OPF_10000.mtx,64,64,-1.0
data/suitesparse_all//OPF_10000.mtx,256,256,-1.0
data/suitesparse_all//OPF_10000.mtx,512,512,-1.0
data/suitesparse_all//OPF_10000.mtx,1024,1024,-1.0
data/suitesparse_all//OPF_6000.mtx,64,64,0.4
data/suitesparse_all//OPF_6000.mtx,256,256,-1.0
data/suitesparse_all//OPF_6000.mtx,512,512,-1.0
data/suitesparse_all//OPF_6000.mtx,1024,1024,0.8
data/suitesparse_all//Si34H36.mtx,64,64,0.6
data/suitesparse_all//Si34H36.mtx,256,256,-1.0
data/suitesparse_all//Si34H36.mtx,512,512,-1.0
data/suitesparse_all//Si34H36.mtx,1024,1024,-1.0
data/suitesparse_all//SiO.mtx,64,64,0.8
data/suitesparse_all//SiO.mtx,256,256,-1.0
data/suitesparse_all//SiO.mtx,512,512,-1.0
data/suitesparse_all//SiO.mtx,1024,1024,-1.0
data/suitesparse_all//TEM27623.mtx,64,64,-1.0
data/suitesparse_all//TEM27623.mtx,256,256,-1.0
data/suitesparse_all//TEM27623.mtx,512,512,-1.0
data/suitesparse_all//TEM27623.mtx,1024,1024,-1.0
data/suitesparse_all//TSOPF_RS_b162_c4.mtx,64,64,-1.0
data/suitesparse_all//TSOPF_RS_b162_c4.mtx,256,256,0.01
data/suitesparse_all//TSOPF_RS_b162_c4.mtx,512,512,0.1
data/suitesparse_all//TSOPF_RS_b162_c4.mtx,1024,1024,0.01
data/suitesparse_all//TSOPF_RS_b2052_c1.mtx,64,64,-1.0
data/suitesparse_all//TSOPF_RS_b2052_c1.mtx,256,256,-1.0
data/suitesparse_all//TSOPF_RS_b2052_c1.mtx,512,512,-1.0
data/suitesparse_all//TSOPF_RS_b2052_c1.mtx,1024,1024,-1.0
data/suitesparse_all//TSOPF_RS_b2383.mtx,64,64,-1.0
data/suitesparse_all//TSOPF_RS_b2383.mtx,256,256,0.8
data/suitesparse_all//TSOPF_RS_b2383.mtx,512,512,-1.0
data/suitesparse_all//TSOPF_RS_b2383.mtx,1024,1024,-1.0
data/suitesparse_all//TSOPF_RS_b2383_c1.mtx,64,64,-1.0
data/suitesparse_all//TSOPF_RS_b2383_c1.mtx,256,256,-1.0
data/suitesparse_all//TSOPF_RS_b2383_c1.mtx,512,512,-1.0
data/suitesparse_all//TSOPF_RS_b2383_c1.mtx,1024,1024,0.4
data/suitesparse_all//TSOPF_RS_b300_c2.mtx,64,64,-1.0
data/suitesparse_all//TSOPF_RS_b300_c2.mtx,256,256,-1.0
