exp_name,input_type,input_source,rows,cols,B_cols,B_density,total_nonzeros,input_blocks_density,input_entries_density,input_block_size,reorder_algorithm,algo_block_size,epsilon,similarity_func,hierarchic_merge,scramble,Warmup,Repetitions,Algorithm,VBS_avg_nzblock_height,VBS_avg_nzblock_height_error,VBS_total_nonzeros,VBS_total_nonzeros_error,VBS_block_rows,VBS_block_rows_error,VBS_nz_blocks,VBS_nz_blocks_error,VBS_min_block_H,VBS_min_block_H_error,VBS_max_block_H,VBS_max_block_H_error,
default,2,data/real-graphs/CA-GrQc.txt,5242,5242,5,1.000000,28980,0.500000,0.500000,4,saad_blocks,64,0.400000,scalar,1,1,0,5,-1,28.707800,0.494089,9964413.000000,88097.554688,331.799988,1.469694,5429.600098,67.872231,1.000000,0.000000,463.600006,5.678028,
default,2,data/real-graphs/CA-GrQc.txt,5242,5242,5,1.000000,28980,0.500000,0.500000,4,saad_blocks,32,0.500000,scalar,1,1,0,5,-1,4.476021,0.008221,1809861.625000,1643.300659,1558.599976,4.586938,12644.200195,12.796874,1.000000,0.000000,43.000000,0.000000,
default,2,data/real-graphs/CA-GrQc.txt,5242,5242,5,1.000000,28980,0.500000,0.500000,4,saad_blocks,64,0.500000,scalar,1,1,0,5,-1,8.823224,0.103921,5324169.000000,33658.394531,980.799988,4.400000,9437.599609,64.877113,1.000000,0.000000,124.000000,9.402127,
default,2,data/real-graphs/CA-GrQc.txt,5242,5242,5,1.000000,28980,0.500000,0.500000,4,saad_blocks,32,0.600000,scalar,1,1,0,5,-1,3.077799,0.004554,1431574.750000,1616.883789,2176.000000,2.607681,14545.599609,7.889233,1.000000,0.000000,46.000000,0.000000,
default,2,data/real-graphs/CA-GrQc.txt,5242,5242,5,1.000000,28980,0.500000,0.500000,4,saad_blocks,64,0.600000,scalar,1,1,0,5,-1,3.907202,0.017843,3094666.000000,8460.839844,1631.800049,7.277362,12385.799805,24.830626,1.000000,0.000000,42.000000,0.000000,
default,2,data/real-graphs/CA-GrQc.txt,5242,5242,5,1.000000,28980,0.500000,0.500000,4,saad_blocks,32,0.700000,scalar,1,1,0,5,-1,2.303273,0.000895,1217437.625000,498.789581,2583.199951,1.469694,16529.000000,3.033150,1.000000,0.000000,41.000000,0.000000,
default,2,data/real-graphs/CA-GrQc.txt,5242,5242,5,1.000000,28980,0.500000,0.500000,4,saad_blocks,64,0.700000,scalar,1,1,0,5,-1,2.623252,0.004573,2431404.000000,3567.752686,2158.000000,3.162278,14494.000000,6.723094,1.000000,0.000000,46.000000,0.000000,
default,2,data/real-graphs/CA-GrQc.txt,5242,5242,5,1.000000,28980,0.500000,0.500000,4,saad_blocks,32,0.800000,scalar,1,1,0,5,-1,1.072230,0.000178,883192.000000,0.000000,4007.000000,2.000000,25756.599609,4.270831,1.000000,0.000000,20.000000,0.000000,
default,2,data/real-graphs/CA-GrQc.txt,5242,5242,5,1.000000,28980,0.500000,0.500000,4,saad_blocks,64,0.800000,scalar,1,1,0,5,-1,1.100048,0.000200,1699071.250000,62.706959,3820.800049,1.469694,24152.400391,3.878144,1.000000,0.000000,30.000000,0.000000,
default,2,data/real-graphs/CA-GrQc.txt,5242,5242,5,1.000000,28980,0.500000,0.500000,4,saad_blocks,32,0.900000,scalar,1,1,0,5,-1,1.041349,0.000234,872118.000000,0.000000,4173.200195,2.561250,26187.199219,5.878776,1.000000,0.000000,20.000000,0.000000,
default,2,data/real-graphs/CA-GrQc.txt,5242,5242,5,1.000000,28980,0.500000,0.500000,4,saad_blocks,64,0.900000,scalar,1,1,0,5,-1,1.047312,0.000154,1663076.000000,0.000000,4083.399902,1.356466,24831.199219,3.655133,1.000000,0.000000,30.000000,0.000000,
default,2,data/real-graphs/CA-HepPh.txt,12008,12008,5,1.000000,237010,0.500000,0.500000,4,saad_blocks,32,0.300000,scalar,1,1,0,5,-1,28.000172,0.078557,28901828.000000,82085.304688,1266.400024,4.317407,32294.199219,104.585655,1.000000,0.000000,1164.000000,2.756810,
default,2,data/real-graphs/CA-HepPh.txt,12008,12008,5,1.000000,237010,0.500000,0.500000,4,saad_blocks,64,0.300000,scalar,1,1,0,5,-1,56.993050,0.486431,60592712.000000,284764.281250,571.200012,9.826495,16640.400391,80.226181,1.000000,0.000000,2676.399902,10.744301,
default,2,data/real-graphs/CA-HepPh.txt,12008,12008,5,1.000000,237010,0.500000,0.500000,4,saad_blocks,32,0.400000,scalar,1,1,0,5,-1,14.703880,0.158350,19243542.000000,206833.140625,2455.199951,12.998461,40945.800781,66.622520,1.000000,0.000000,589.200012,133.746628,
default,2,data/real-graphs/CA-HepPh.txt,12008,12008,5,1.000000,237010,0.500000,0.500000,4,saad_blocks,64,0.400000,scalar,1,1,0,5,-1,17.780249,0.145864,35840012.000000,231123.390625,1703.400024,8.452219,31544.800781,88.551453,1.000000,0.000000,912.599976,0.800000,
default,2,data/real-graphs/CA-HepPh.txt,12008,12008,5,1.000000,237010,0.500000,0.500000,4,saad_blocks,32,0.500000,scalar,1,1,0,5,-1,9.292249,0.008073,14964411.000000,5319.196777,4256.200195,7.054077,50384.000000,26.145744,1.000000,0.000000,286.000000,0.000000,
default,2,data/real-graphs/CA-HepPh.txt,12008,12008,5,1.000000,237010,0.500000,0.500000,4,saad_blocks,64,0.500000,scalar,1,1,0,5,-1,9.058043,0.002836,23780860.000000,44839.398438,3470.800049,6.177378,41087.800781,68.414619,1.000000,0.000000,779.000000,0.000000,
default,2,data/real-graphs/CA-HepPh.txt,12008,12008,5,1.000000,237010,0.500000,0.500000,4,saad_blocks,32,0.600000,scalar,1,1,0,5,-1,6.593539,0.008843,13309907.000000,10951.158203,5803.200195,3.429286,63151.800781,33.438900,1.000000,0.000000,283.000000,0.000000,
