exp_name,input_type,input_source,reorder_algorithm,rows,cols,total_nonzeros,input_blocks_density,input_entries_density,input_block_size,algo_block_size,epsilon,scramble,VBS_avg_nzblock_height,VBS_avg_nzblock_height_error,VBS_total_nonzeros,VBS_total_nonzeros_error,VBS_block_rows,VBS_block_rows_error,VBS_nz_blocks,VBS_nz_blocks_error,VBS_min_block_H,VBS_min_block_H_error,VBS_max_block_H,VBS_max_block_H_error,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,256,0.350000,1,26.885094,0.000000,384335200.000000,0.000000,1422.000000,0.000000,56263.000000,0.000000,1.000000,0.000000,824.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,256,0.350000,1,4.058414,0.000000,99228064.000000,0.000000,7382.000000,0.000000,95799.000000,0.000000,1.000000,0.000000,39.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,256,0.350000,3,27.194113,0.000000,390407744.000000,0.000000,1412.000000,0.000000,56488.000000,0.000000,1.000000,0.000000,751.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,256,0.350000,3,4.111096,0.000000,103799840.000000,0.000000,7370.000000,0.000000,98887.000000,0.000000,1.000000,0.000000,41.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,300,0.350000,1,30.253637,0.000000,398859552.000000,0.000000,1164.000000,0.000000,44343.000000,0.000000,1.000000,0.000000,938.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,300,0.350000,1,4.044469,0.000000,112853600.000000,0.000000,7382.000000,0.000000,93166.000000,0.000000,1.000000,0.000000,39.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,300,0.350000,3,31.364384,0.000000,402987360.000000,0.000000,1123.000000,0.000000,43133.000000,0.000000,1.000000,0.000000,862.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,300,0.350000,3,4.096074,0.000000,117837024.000000,0.000000,7370.000000,0.000000,96009.000000,0.000000,1.000000,0.000000,41.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,512,0.350000,1,60.279263,0.000000,420840096.000000,0.000000,485.000000,0.000000,13926.000000,0.000000,1.000000,0.000000,1573.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,512,0.350000,1,3.984385,0.000000,167881376.000000,0.000000,7382.000000,0.000000,82676.000000,0.000000,1.000000,0.000000,39.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,512,0.350000,3,67.451950,0.000000,424169984.000000,0.000000,439.000000,0.000000,12539.000000,0.000000,1.000000,0.000000,1533.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,512,0.350000,3,4.021264,0.000000,174456352.000000,0.000000,7370.000000,0.000000,85074.000000,0.000000,1.000000,0.000000,41.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,16,0.400000,1,6.280939,0.000000,12253807.000000,0.000000,5666.000000,0.000000,121952.000000,0.000000,1.000000,0.000000,55.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,16,0.400000,1,3.568209,0.000000,6670146.000000,0.000000,8297.000000,0.000000,116846.000000,0.000000,1.000000,0.000000,37.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,16,0.400000,3,6.289841,0.000000,12509284.000000,0.000000,5700.000000,0.000000,124313.000000,0.000000,1.000000,0.000000,78.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,16,0.400000,3,3.568060,0.000000,6794680.000000,0.000000,8287.000000,0.000000,119028.000000,0.000000,1.000000,0.000000,37.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,32,0.400000,1,9.279005,0.000000,36132296.000000,0.000000,5293.000000,0.000000,121704.000000,0.000000,1.000000,0.000000,87.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,32,0.400000,1,3.560575,0.000000,13069886.000000,0.000000,8297.000000,0.000000,114725.000000,0.000000,1.000000,0.000000,37.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,32,0.400000,3,9.244455,0.000000,37049832.000000,0.000000,5407.000000,0.000000,125258.000000,0.000000,1.000000,0.000000,116.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,32,0.400000,3,3.562486,0.000000,13410990.000000,0.000000,8287.000000,0.000000,117651.000000,0.000000,1.000000,0.000000,37.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,64,0.400000,1,13.844449,0.000000,105296520.000000,0.000000,4961.000000,0.000000,118958.000000,0.000000,1.000000,0.000000,150.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,64,0.400000,1,3.551474,0.000000,25315550.000000,0.000000,8297.000000,0.000000,111465.000000,0.000000,1.000000,0.000000,37.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,64,0.400000,3,13.714620,0.000000,107928816.000000,0.000000,5096.000000,0.000000,123057.000000,0.000000,1.000000,0.000000,173.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,64,0.400000,3,3.550852,0.000000,26100398.000000,0.000000,8287.000000,0.000000,114911.000000,0.000000,1.000000,0.000000,37.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,128,0.400000,1,16.711096,0.000000,230724016.000000,0.000000,4100.000000,0.000000,108043.000000,0.000000,1.000000,0.000000,293.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,128,0.400000,1,3.530755,0.000000,47936996.000000,0.000000,8297.000000,0.000000,106194.000000,0.000000,1.000000,0.000000,37.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,128,0.400000,3,16.378206,0.000000,234153808.000000,0.000000,4159.000000,0.000000,111862.000000,0.000000,1.000000,0.000000,332.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,128,0.400000,3,3.528890,0.000000,49491492.000000,0.000000,8287.000000,0.000000,109675.000000,0.000000,1.000000,0.000000,37.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,200,0.400000,1,16.430351,0.000000,303068704.000000,0.000000,3186.000000,0.000000,92536.000000,0.000000,1.000000,0.000000,444.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,200,0.400000,1,3.508495,0.000000,71100136.000000,0.000000,8297.000000,0.000000,101535.000000,0.000000,1.000000,0.000000,37.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,200,0.400000,3,15.866065,0.000000,307004384.000000,0.000000,3306.000000,0.000000,97062.000000,0.000000,1.000000,0.000000,480.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,200,0.400000,3,3.512901,0.000000,73381968.000000,0.000000,8287.000000,0.000000,104646.000000,0.000000,1.000000,0.000000,37.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,256,0.400000,1,17.249557,0.000000,341394912.000000,0.000000,2511.000000,0.000000,77866.000000,0.000000,1.000000,0.000000,606.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,256,0.400000,1,3.492546,0.000000,87419360.000000,0.000000,8297.000000,0.000000,98066.000000,0.000000,1.000000,0.000000,37.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,256,0.400000,3,16.994883,0.000000,347084096.000000,0.000000,2557.000000,0.000000,80313.000000,0.000000,1.000000,0.000000,568.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,256,0.400000,3,3.488427,0.000000,90133544.000000,0.000000,8287.000000,0.000000,101182.000000,0.000000,1.000000,0.000000,37.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,300,0.400000,1,18.336601,0.000000,363790144.000000,0.000000,2103.000000,0.000000,66607.000000,0.000000,1.000000,0.000000,688.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,300,0.400000,1,3.482909,0.000000,99751512.000000,0.000000,8297.000000,0.000000,95635.000000,0.000000,1.000000,0.000000,37.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,300,0.400000,3,18.370993,0.000000,367788192.000000,0.000000,2115.000000,0.000000,67109.000000,0.000000,1.000000,0.000000,664.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,300,0.400000,3,3.484088,0.000000,102911784.000000,0.000000,8287.000000,0.000000,98571.000000,0.000000,1.000000,0.000000,37.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad_blocks,23133,23133,186936,0.500000,0.500000,4,512,0.400000,1,34.734062,0.000000,411044928.000000,0.000000,872.000000,0.000000,23577.000000,0.000000,1.000000,0.000000,1169.000000,0.000000,
default,2,data/real-graphs/CA-CondMat.txt,saad,23133,23133,186936,0.500000,0.500000,4,512,0.400000,1,3.432406,0.000000,149645024.000000,0.000000,8297.000000,0.000000,85533.000000,0.000000,1.000000,0.000000,37.000000,0.000000,
