exp_name,input_type,input_source,rows,cols,B_cols,B_density,total_nonzeros,input_blocks_density,input_entries_density,input_block_size,reorder_algorithm,algo_block_size,epsilon,similarity_func,hierarchic_merge,merge_limit,scramble,Warmup,Repetitions,Algorithm,VBS_avg_nzblock_height,VBS_avg_nzblock_height_error,VBS_total_nonzeros,VBS_total_nonzeros_error,VBS_block_rows,VBS_block_rows_error,VBS_nz_blocks,VBS_nz_blocks_error,VBS_min_block_H,VBS_min_block_H_error,VBS_max_block_H,VBS_max_block_H_error,avg_skipped,avg_comparisons,
default,4,NO_INPUT,2048,2048,5,1.000000,4100,0.010000,0.100000,64,saad_blocks,64,0.300000,jaccard,1,0.250000,1,0,1,-1,63.900002,0.000000,40896.000000,0.000000,11.000000,0.000000,10.000000,0.000000,63.000000,0.000000,1409.000000,0.000000,0.000000,4144.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,4100,0.010000,0.100000,64,saad_blocks,64,0.300000,jaccard,1,0.500000,1,0,1,-1,63.900002,0.000000,40896.000000,0.000000,11.000000,0.000000,10.000000,0.000000,63.000000,0.000000,1409.000000,0.000000,0.000000,4144.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,4100,0.010000,0.100000,64,saad_blocks,64,0.300000,jaccard,1,0.750000,1,0,1,-1,63.900002,0.000000,40896.000000,0.000000,11.000000,0.000000,10.000000,0.000000,63.000000,0.000000,1409.000000,0.000000,0.000000,4144.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,4100,0.010000,0.100000,64,saad_blocks,64,0.300000,jaccard,1,1.000000,1,0,1,-1,63.900002,0.000000,40896.000000,0.000000,11.000000,0.000000,10.000000,0.000000,63.000000,0.000000,1409.000000,0.000000,0.000000,4144.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,4100,0.010000,0.100000,64,saad_blocks,64,0.300000,jaccard,1,2.000000,1,0,1,-1,63.900002,0.000000,40896.000000,0.000000,11.000000,0.000000,10.000000,0.000000,63.000000,0.000000,1409.000000,0.000000,0.000000,4144.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,8200,0.010000,0.200000,64,saad_blocks,64,0.300000,jaccard,1,-1.000000,1,0,1,-1,64.000000,0.000000,40960.000000,0.000000,11.000000,0.000000,10.000000,0.000000,64.000000,0.000000,1408.000000,0.000000,0.000000,4150.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,8200,0.010000,0.200000,64,saad_blocks,64,0.300000,jaccard,1,0.000000,1,0,1,-1,64.000000,0.000000,40960.000000,0.000000,11.000000,0.000000,10.000000,0.000000,64.000000,0.000000,1408.000000,0.000000,0.000000,4150.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,8200,0.010000,0.200000,64,saad_blocks,64,0.300000,jaccard,1,0.250000,1,0,1,-1,64.000000,0.000000,40960.000000,0.000000,11.000000,0.000000,10.000000,0.000000,64.000000,0.000000,1408.000000,0.000000,0.000000,4150.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,8200,0.010000,0.200000,64,saad_blocks,64,0.300000,jaccard,1,0.500000,1,0,1,-1,64.000000,0.000000,40960.000000,0.000000,11.000000,0.000000,10.000000,0.000000,64.000000,0.000000,1408.000000,0.000000,0.000000,4150.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,8200,0.010000,0.200000,64,saad_blocks,64,0.300000,jaccard,1,0.750000,1,0,1,-1,64.000000,0.000000,40960.000000,0.000000,11.000000,0.000000,10.000000,0.000000,64.000000,0.000000,1408.000000,0.000000,0.000000,4150.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,8200,0.010000,0.200000,64,saad_blocks,64,0.300000,jaccard,1,1.000000,1,0,1,-1,64.000000,0.000000,40960.000000,0.000000,11.000000,0.000000,10.000000,0.000000,64.000000,0.000000,1408.000000,0.000000,0.000000,4150.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,8200,0.010000,0.200000,64,saad_blocks,64,0.300000,jaccard,1,2.000000,1,0,1,-1,64.000000,0.000000,40960.000000,0.000000,11.000000,0.000000,10.000000,0.000000,64.000000,0.000000,1408.000000,0.000000,0.000000,4150.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,4182,0.100000,0.010000,64,saad_blocks,64,0.300000,jaccard,1,-1.000000,1,0,1,-1,4.033543,0.000000,246272.000000,0.000000,308.000000,0.000000,954.000000,0.000000,1.000000,0.000000,410.000000,0.000000,7159.000000,163342.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,4182,0.100000,0.010000,64,saad_blocks,64,0.300000,jaccard,1,0.000000,1,0,1,-1,42.665024,0.000000,554304.000000,0.000000,46.000000,0.000000,203.000000,0.000000,1.000000,0.000000,410.000000,0.000000,0.000000,28624.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,4182,0.100000,0.010000,64,saad_blocks,64,0.300000,jaccard,1,0.250000,1,0,1,-1,1.902056,0.000000,201344.000000,0.000000,596.000000,0.000000,1654.000000,0.000000,1.000000,0.000000,410.000000,0.000000,16258.000000,306556.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,4182,0.100000,0.010000,64,saad_blocks,64,0.300000,jaccard,1,0.500000,1,0,1,-1,4.033543,0.000000,246272.000000,0.000000,308.000000,0.000000,954.000000,0.000000,1.000000,0.000000,410.000000,0.000000,7159.000000,163342.000000,
default,4,NO_INPUT,2048,2048,5,1.000000,4182,0.100000,0.010000,64,saad_blocks,64,0.300000,jaccard,1,0.750000,1,0,1,-1,5.447188,0.000000,254144.000000,0.000000,256.000000,0.000000,729.000000,0.000000,1.000000,0.000000,410.000000,0.000000,6514.000000,153661.000000,
